ID,pregunta,a,b,c,d,respuesta
13,¿Que documento prueba que su vehiculo tiene seguro de responsabilidad civil?,Tarjeta de identificacion,Poliza o comprobante de seguro,Licencia de conducir,Registro del vehiculo,Poliza o comprobante de seguro
14,¿Que sucede si conduce sin seguro y se ve involucrado en un accidente?,Recibe una advertencia,Suspension de la licencia por hasta 4 años,Solo una multa de transito,Ninguna sancion,Suspension de la licencia por hasta 4 años
15,¿Que debe hacer si hay heridos en un accidente?,Llamar al 911 inmediatamente,Esperar a que llegue un oficial,Mover a los heridos del lugar,Continuar si no hay daños,Llamar al 911 inmediatamente
16,¿Que debe hacer si su vehiculo se descompone en la autopista?,Salir del vehiculo y esperar en la carretera,Encender las luces intermitentes y esperar fuera del trafico,Intentar empujarlo en el trafico,Pedir ayuda a otros conductores,Encender las luces intermitentes y esperar fuera del trafico
17,¿Que informacion debe proporcionar a otros conductores involucrados en un accidente?,Solo su nombre,"Nombre, direccion, licencia, matricula y seguro",Solo numero de telefono,Solo el tipo de vehiculo,"Nombre, direccion, licencia, matricula y seguro"
18,¿Que debe hacer si atropella a un animal?,Ignorarlo si no hay testigos,Llamar a la policia o al servicio de control animal,Moverlo fuera de la carretera sin avisar,Llevarlo a casa,Llamar a la policia o al servicio de control animal
19,¿Que significa tener 'responsabilidad financiera' como conductor?,Tener suficiente dinero en el banco,Contar con seguro que cubra daños y lesiones,Pagar el vehiculo al contado,Tener tarjeta de credito activa,Contar con seguro que cubra daños y lesiones
20,¿Que pasa si no presenta el informe de accidente requerido por el DMV?,Nada si hay seguro,Se suspende su licencia de conducir,Solo recibe una multa,Debe pagar los daños de su bolsillo,Se suspende su licencia de conducir
21,¿Cual es el limite maximo de concentracion de alcohol en sangre (BAC) permitido para conductores mayores de 21 años?,0.01%,0.05%,0.08%,0.10%,0.08%
22,¿Cual es el limite maximo de BAC para conductores menores de 21 años?,0.01%,0.05%,0.08%,0.00%,0.01%
23,¿Que sucede si se niega a realizar la prueba de alcohol o drogas solicitada por un oficial?,Recibe una advertencia,Pierde automaticamente su licencia por un año,Solo paga una multa,No pasa nada,Pierde automaticamente su licencia por un año
24,¿Que efecto tiene el alcohol en la conduccion?,Mejora la concentracion,Disminuye los reflejos y la coordinacion,Aumenta el estado de alerta,Reduce la somnolencia,Disminuye los reflejos y la coordinaci??n
25,¿Que ocurre si un conductor menor de 21 años es sorprendido con alcohol en su vehiculo?,No hay sancion,Multa y suspension de licencia por un año,Advertencia verbal,Solo se confisca la bebida,Multa y suspension de licencia por un año
26,¿Que combinacion es mas peligrosa al conducir?,Alcohol y drogas,Cafeina y agua,Comida y refrescos,Tabaco y café,Alcohol y drogas
27,¿Que debe hacer si esta tomando medicamentos que afectan su capacidad para conducir?,Conducir mas despacio,No conducir y consultar a su medico,Beber cafe antes de manejar,Ignorar los efectos secundarios,No conducir y consultar a su medico
28,¿Que tipo de bebidas pueden aumentar el nivel de alcohol en sangre?,Solo cerveza,Cualquier bebida alcoholica,Solo vino,Solo licores fuertes,Cualquier bebida alcoholica
29,¿Que pasa si un conductor causa lesiones graves al manejar bajo la influencia del alcohol?,Pierde puntos de licencia unicamente,Puede ir a prision y recibir sanciones severas,Solo recibe una multa,Debe realizar trabajo comunitario,Puede ir a prision y recibir sanciones severas
30,¿Que significa conducir bajo la influencia (DUI)?,Conducir cansado,Conducir bajo el efecto de alcohol o drogas,Conducir con sueño,Conducir con exceso de velocidad,Conducir bajo el efecto de alcohol o drogas
31,¿Cuantas oportunidades tiene un solicitante para aprobar el examen teorico antes de volver a aplicar?,Dos,Tres,Cuatro,Cinco,Tres
32,¿Que tipo de prueba debe aprobar para obtener una licencia de conducir en California?,Solo prueba de vision,Prueba teorica y practica de manejo,Prueba medica,Examen psicologico,Prueba teorica y practica de manejo
33,¿Que ocurre si falla el examen practico de manejo siendo menor de edad?,Debe esperar 7 dias para volver a presentarlo,Debe esperar 14 dias,Debe esperar un mes,Debe volver a iniciar el proceso de solicitud,Debe esperar 14 dias
34,¿Que documento debe presentar al momento del examen de manejo?,Comprobante de domicilio,Permiso de aprendizaje valido,Numero de seguro social,Certificado medico,Permiso de aprendizaje valido
35,¿Que se evalua principalmente en el examen practico de manejo?,La habilidad para operar el veh??culo de forma segura,El conocimiento de mecanica basica,La condicion fisica del conductor,La velocidad de reaccion,La habilidad para operar el vehiculo de forma segura
36,¿Cuando debe usar gafas o lentes correctivos durante el examen de manejo?,Solo si el instructor lo pide,Solo de noche,Siempre que los necesite para conducir,Solo si esta lloviendo,Siempre que los necesite para conducir
37,¿Que debe hacer si no pasa el examen de vision en el DMV?,Puede conducir solo de dia,Debe consultar a un oculista y entregar un reporte de vision,Debe usar lentes oscuros,Debe volver al DMV al dia siguiente,Debe consultar a un oculista y entregar un reporte de vision
38,¿Que articulos debe llevar el dia del examen practico?,Solo licencia vigente,"Permiso, vehiculo asegurado y acompañante con licencia",Certificado medico,Pago de multa,"Permiso, vehiculo asegurado y acompañante con licencia"
39,¿Que pasa si el vehiculo usado para el examen no cumple los requisitos de seguridad?,Se cancela el examen y se reprograma,El examen continua con penalizacion,El DMV presta un vehiculo,Puede hacerlo en otro lugar,Se cancela el examen y se reprograma
40,¿Que significa la prueba de conocimientos teoricos en el DMV?,Evalua la salud mental del conductor,Verifica el conocimiento de las leyes y señales de transito,Determina la rapidez visual,Evalua la condicion fisica,Verifica el conocimiento de las leyes y señales de transito
41,¿Que edad minima se requiere para solicitar un permiso de aprendizaje en California?,15 años,15 años y medio,16 años,17 años,15 años y medio
42,¿Que documento le permite conducir legalmente en las vias publicas de California?,Tarjeta de identificacion,Licencia de conducir valida,Certificado de nacimiento,Tarjeta de seguro,Licencia de conducir valida
43,¿Que debe presentar al solicitar una licencia de conducir en California?,Prueba de identidad y residencia,Carta de recomendacion,Recibo de impuestos,Prueba de ciudadania unicamente,Prueba de identidad y residencia
44,"Si usted tiene menos de 18 años, ¿que requisito debe cumplir antes de obtener una licencia?",Completar un curso de educacion vial y entrenamiento practico,Tener pasaporte vigente,Aprobar un examen medico,Conducir con sus padres durante 30 dias,Completar un curso de educacion vial y entrenamiento practico
45,¿Cuantas horas de practica de manejo debe registrar un menor de edad antes de presentar el examen de manejo?,10 horas,25 horas,50 horas,100 horas,50 horas
46,¿Durante cuanto tiempo debe conservar un permiso de aprendizaje antes de solicitar la licencia de manejo (si es menor de edad)?,3 meses,6 meses,9 meses,12 meses,6 meses
47,¿Que tipo de licencia permite conducir automoviles personales (no comerciales) en California?,Clase A,Clase B,Clase C,Clase M,Clase C
48,¿Que significa tener una licencia con la designacion REAL ID?,Permite viajar internacionalmente,Cumple con los requisitos federales para abordar vuelos domosticos y entrar a instalaciones federales,Es valida solo para estudiantes,Permite conducir vehiculos comerciales,Cumple con los requisitos federales para abordar vuelos domesticos y entrar a instalaciones federales
49,¿Que sucede si cambia de domicilio despues de obtener su licencia de conducir?,Debe notificar al DMV en un plazo de 10 dias,No es necesario avisar,Puede hacerlo al renovar su licencia,Solo si se muda fuera del estado,Debe notificar al DMV en un plazo de 10 dias
50,  ¿Que ocurre si un menor de edad obtiene varias infracciones o colisiones durante su primer a  o con licencia provisional?,No pasa nada,Se revoca la licencia permanentemente,Puede ser suspendida o restringida,Solo paga una multa,Puede ser suspendida o restringida
51, ¿Que debe hacer cuando se aproxima a una interseccion sin señales ni semaforos?,Ceder el paso al vehiculo de la derecha,Pasar sin detenerse,Detenerse siempre,Acelerar para cruzar,Ceder el paso al vehiculo de la derecha
52, ¿Que vehiculo tiene la preferencia en una pendiente estrecha?,El que sube,El que baja,El mas grande,El mas rapido,El que sube
53, ¿Que distancia debe mantener con el vehiculo que va adelante?,Una distancia de un segundo,La regla de los tres segundos,Medio metro,Un vehiculo de distancia,La regla de los tres segundos
54, ¿Que debe hacer cuando un vehiculo de emergencia se aproxima con sirena y luces encendidas?,Continuar y mantenerse en su carril,Detenerse a la derecha del camino,Acelerar para despejar el paso,Detenerse en medio de la via,Detenerse a la derecha del camino
55,¿Cual es el limite de velocidad en zonas escolares mientras los niños estan presentes?,15 mph,25 mph,35 mph,45 mph,25 mph
56, ¿Que debe hacer antes de adelantar otro vehiculo en una carretera de dos sentidos?,Usar luces intermitentes,Verificar que el carril contrario esta libre,Pitar dos veces,Reducir la velocidad,Verificar que el carril contrario esta libre
57,¿Cuando puede realizar un giro a la derecha en una luz roja?,Solo si no hay señal que lo prohiba y despues de detenerse completamente,Siempre que no haya peatones,Solo con autorizacion policial,En cualquier momento,Solo si no hay señal que lo prohiba y despues de detenerse completamente
58, ¿Que significa una linea doble amarilla separando carriles de trafico?,No se puede cruzar para adelantar,Puede adelantar con precaucion,Es un carril exclusivo de giro,Carril para bicicletas,No se puede cruzar para adelantar
59, ¿Que debe hacer si su vehiculo comienza a desviarse fuera del pavimento?,Frenar bruscamente,Acelerar,Reducir la velocidad y volver lentamente al camino,Girar bruscamente,Reducir la velocidad y volver lentamente al camino
60,¿Cuando debe usar las luces direccionales?,Solo en la noche,Antes de cada giro o cambio de carril,Solo cuando hay trafico,Cuando lo indique el oficial,Antes de cada giro o cambio de carril
